"Step","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MAX"
"581","33.03838740717053","33.03838740717053","33.03838740717053"
"584","33.10945124091352","33.10945124091352","33.10945124091352"
"587","32.92719476985415","32.92719476985415","32.92719476985415"
"590","33.71599361951499","33.71599361951499","33.71599361951499"
"593","33.92169734063","33.92169734063","33.92169734063"
"596","34.109373043457595","34.109373043457595","34.109373043457595"
"599","34.686331967308874","34.686331967308874","34.686331967308874"
"602","35.709858106612934","35.709858106612934","35.709858106612934"
"605","38.10678932805867","38.10678932805867","38.10678932805867"
"608","39.81151233248469","39.81151233248469","39.81151233248469"
"611","41.933756181797946","41.933756181797946","41.933756181797946"
"614","42.84819390196774","42.84819390196774","42.84819390196774"
"617","42.55148519240324","42.55148519240324","42.55148519240324"
"620","44.37397692373542","44.37397692373542","44.37397692373542"
"623","44.276913816611895","44.276913816611895","44.276913816611895"
"626","45.989642688948585","45.989642688948585","45.989642688948585"
"629","46.30151495641767","46.30151495641767","46.30151495641767"
"632","45.93278121406626","45.93278121406626","45.93278121406626"
"635","47.471540388697996","47.471540388697996","47.471540388697996"
"638","49.67347495587403","49.67347495587403","49.67347495587403"
"641","50.83996538510887","50.83996538510887","50.83996538510887"
"644","52.39535105719547","52.39535105719547","52.39535105719547"
"647","55.19516648861168","55.19516648861168","55.19516648861168"
"650","55.90944771037493","55.90944771037493","55.90944771037493"
"653","55.80532258196224","55.80532258196224","55.80532258196224"
"656","57.059070007059475","57.059070007059475","57.059070007059475"
"659","57.4812821085566","57.4812821085566","57.4812821085566"
"662","56.27690907739017","56.27690907739017","56.27690907739017"
"665","57.976715252218185","57.976715252218185","57.976715252218185"
"668","59.3570404746966","59.3570404746966","59.3570404746966"
"671","59.954459395044644","59.954459395044644","59.954459395044644"
"674","60.08334721872564","60.08334721872564","60.08334721872564"
"677","60.33605032885325","60.33605032885325","60.33605032885325"
"680","60.8823612621945","60.8823612621945","60.8823612621945"
"683","60.28230572160234","60.28230572160234","60.28230572160234"
"686","61.17928737899626","61.17928737899626","61.17928737899626"
"689","61.50495509923248","61.50495509923248","61.50495509923248"
"692","62.285971982089734","62.285971982089734","62.285971982089734"
"695","62.6761936081555","62.6761936081555","62.6761936081555"
"698","64.80621053817725","64.80621053817725","64.80621053817725"
"701","67.2553386993551","67.2553386993551","67.2553386993551"
"704","69.31784297497582","69.31784297497582","69.31784297497582"
"707","70.92098272425942","70.92098272425942","70.92098272425942"
"710","71.87220028110323","71.87220028110323","71.87220028110323"
"713","74.0216411075895","74.0216411075895","74.0216411075895"
"716","74.5477157779808","74.5477157779808","74.5477157779808"
"719","75.90885145729938","75.90885145729938","75.90885145729938"
"722","75.92925975977903","75.92925975977903","75.92925975977903"
"725","76.69690219360358","76.69690219360358","76.69690219360358"
"728","76.50598771119742","76.50598771119742","76.50598771119742"
"731","77.82834865563122","77.82834865563122","77.82834865563122"
"734","78.89452161003976","78.89452161003976","78.89452161003976"
"737","80.15076437794465","80.15076437794465","80.15076437794465"
"740","82.46490918738593","82.46490918738593","82.46490918738593"
"743","84.23100893626368","84.23100893626368","84.23100893626368"
"746","86.76325472167154","86.76325472167154","86.76325472167154"
"749","87.20477297509194","87.20477297509194","87.20477297509194"
"752","88.0306653087007","88.0306653087007","88.0306653087007"
"755","88.75828477811824","88.75828477811824","88.75828477811824"
"758","89.34809429015687","89.34809429015687","89.34809429015687"
"761","89.93611485667158","89.93611485667158","89.93611485667158"
"764","91.77707884962247","91.77707884962247","91.77707884962247"
"767","92.88081156876697","92.88081156876697","92.88081156876697"
"770","93.90462590098481","93.90462590098481","93.90462590098481"
"773","94.87588464064339","94.87588464064339","94.87588464064339"
"776","95.03355973882316","95.03355973882316","95.03355973882316"
"779","96.15152249410414","96.15152249410414","96.15152249410414"
"782","96.71024384567305","96.71024384567305","96.71024384567305"
"785","95.94719100555707","95.94719100555707","95.94719100555707"
"788","97.70675633386897","97.70675633386897","97.70675633386897"
"791","97.32169927917845","97.32169927917845","97.32169927917845"
"794","98.37926396940026","98.37926396940026","98.37926396940026"
"797","99.16539558783259","99.16539558783259","99.16539558783259"
"800","99.49158760929876","99.49158760929876","99.49158760929876"
"803","98.76306646338818","98.76306646338818","98.76306646338818"
"806","99.42819973156742","99.42819973156742","99.42819973156742"
"809","98.85007589031966","98.85007589031966","98.85007589031966"
"812","99.72204066437838","99.72204066437838","99.72204066437838"
"815","101.65918488606576","101.65918488606576","101.65918488606576"
"818","100.56589428296428","100.56589428296428","100.56589428296428"
"821","101.43986211253208","101.43986211253208","101.43986211253208"
"824","102.46849045451673","102.46849045451673","102.46849045451673"
"827","101.11853191526569","101.11853191526569","101.11853191526569"
"830","101.17086187197322","101.17086187197322","101.17086187197322"
"833","101.6933526929937","101.6933526929937","101.6933526929937"
"836","103.56233110125659","103.56233110125659","103.56233110125659"
"839","102.53176222064933","102.53176222064933","102.53176222064933"
"842","102.67257242464133","102.67257242464133","102.67257242464133"
"845","103.24525030992308","103.24525030992308","103.24525030992308"
"848","103.69339179396373","103.69339179396373","103.69339179396373"
"851","103.08380065679026","103.08380065679026","103.08380065679026"
"854","101.25885032066162","101.25885032066162","101.25885032066162"
"857","100.92560176238938","100.92560176238938","100.92560176238938"
"860","101.09309713704562","101.09309713704562","101.09309713704562"
"863","99.9993315321606","99.9993315321606","99.9993315321606"
"866","100.13274099379565","100.13274099379565","100.13274099379565"
"869","98.41508012256116","98.41508012256116","98.41508012256116"
"872","97.91878938358495","97.91878938358495","97.91878938358495"
"875","98.21505629821888","98.21505629821888","98.21505629821888"
"878","99.07976225729846","99.07976225729846","99.07976225729846"
"881","98.82962883014521","98.82962883014521","98.82962883014521"
"884","98.61233557339202","98.61233557339202","98.61233557339202"
"887","97.43804221938561","97.43804221938561","97.43804221938561"
"890","97.25443333055527","97.25443333055527","97.25443333055527"
"893","96.9168571317171","96.9168571317171","96.9168571317171"
"896","93.85380229975812","93.85380229975812","93.85380229975812"
"899","92.68533779045715","92.68533779045715","92.68533779045715"
"902","91.24132975873039","91.24132975873039","91.24132975873039"
"905","90.87496351017582","90.87496351017582","90.87496351017582"
"908","90.12113423791891","90.12113423791891","90.12113423791891"
"911","91.3047818685933","91.3047818685933","91.3047818685933"
"914","92.62768104186935","92.62768104186935","92.62768104186935"
"917","92.03145821189466","92.03145821189466","92.03145821189466"
"920","91.95933684690135","91.95933684690135","91.95933684690135"
"923","91.7866512271147","91.7866512271147","91.7866512271147"
"926","91.55415522270766","91.55415522270766","91.55415522270766"
"929","90.55623882111213","90.55623882111213","90.55623882111213"
"932","88.76236024687474","88.76236024687474","88.76236024687474"
"935","88.29862395526474","88.29862395526474","88.29862395526474"
"938","87.33938908529683","87.33938908529683","87.33938908529683"
"941","88.42285156446451","88.42285156446451","88.42285156446451"
"944","87.99359623112906","87.99359623112906","87.99359623112906"
"947","87.24103968424586","87.24103968424586","87.24103968424586"
"950","87.28291821615423","87.28291821615423","87.28291821615423"
"953","89.18734040299522","89.18734040299522","89.18734040299522"
"956","88.20943713343298","88.20943713343298","88.20943713343298"
"959","87.395798043341","87.395798043341","87.395798043341"
"962","85.74235497558364","85.74235497558364","85.74235497558364"
"965","85.02398217865638","85.02398217865638","85.02398217865638"
"968","85.57531825242854","85.57531825242854","85.57531825242854"
"971","85.63280675999631","85.63280675999631","85.63280675999631"
"974","84.32080130522772","84.32080130522772","84.32080130522772"
"977","83.37917494905372","83.37917494905372","83.37917494905372"
"980","82.08582309684002","82.08582309684002","82.08582309684002"
"983","82.62418657997732","82.62418657997732","82.62418657997732"
"986","82.66198340841102","82.66198340841102","82.66198340841102"
"989","81.10329382547641","81.10329382547641","81.10329382547641"
"992","80.91814654129128","80.91814654129128","80.91814654129128"
"995","81.31139235786904","81.31139235786904","81.31139235786904"
"998","80.3089243746018","80.3089243746018","80.3089243746018"
"1001","79.4567610554527","79.4567610554527","79.4567610554527"
"1004","77.79933857958636","77.79933857958636","77.79933857958636"
"1007","76.46052746423274","76.46052746423274","76.46052746423274"
"1010","77.23584598073842","77.23584598073842","77.23584598073842"
"1013","77.07314457323851","77.07314457323851","77.07314457323851"
"1016","76.79232081911917","76.79232081911917","76.79232081911917"
"1019","76.45675280602231","76.45675280602231","76.45675280602231"
"1022","75.44389931128637","75.44389931128637","75.44389931128637"
"1025","75.59801126394686","75.59801126394686","75.59801126394686"
"1028","75.67956901405144","75.67956901405144","75.67956901405144"
"1031","75.42656141773483","75.42656141773483","75.42656141773483"
"1034","74.37460466292121","74.37460466292121","74.37460466292121"
"1037","73.75367838264269","73.75367838264269","73.75367838264269"
"1040","72.96416759260124","72.96416759260124","72.96416759260124"
"1043","71.68039248750071","71.68039248750071","71.68039248750071"
"1046","71.12924276438844","71.12924276438844","71.12924276438844"
"1049","71.09214107882589","71.09214107882589","71.09214107882589"
"1052","70.52265518760072","70.52265518760072","70.52265518760072"
"1055","70.04878855093236","70.04878855093236","70.04878855093236"
"1058","71.00654058441452","71.00654058441452","71.00654058441452"
"1061","71.41743959058275","71.41743959058275","71.41743959058275"
"1064","72.66330795353787","72.66330795353787","72.66330795353787"
"1067","72.04806578019449","72.04806578019449","72.04806578019449"
"1070","72.40328482828875","72.40328482828875","72.40328482828875"
"1073","70.65671662572406","70.65671662572406","70.65671662572406"
"1076","69.81206689967524","69.81206689967524","69.81206689967524"
"1079","69.49278645664202","69.49278645664202","69.49278645664202"
"1082","69.7678532145818","69.7678532145818","69.7678532145818"
"1085","69.20430326776635","69.20430326776635","69.20430326776635"
"1088","69.1375103348409","69.1375103348409","69.1375103348409"
"1091","68.94228707059091","68.94228707059091","68.94228707059091"
"1094","69.45548337988762","69.45548337988762","69.45548337988762"
"1097","70.47271257994514","70.47271257994514","70.47271257994514"
"1100","69.86040269552794","69.86040269552794","69.86040269552794"
"1103","70.16051971662067","70.16051971662067","70.16051971662067"
"1106","70.9172210750924","70.9172210750924","70.9172210750924"
"1109","70.6819726247491","70.6819726247491","70.6819726247491"
"1112","70.2370446648305","70.2370446648305","70.2370446648305"
